"flag","meaning","tier"
"LON_SIGN_REPAIRED","Longitude sign was wrong for the stated study area and was repaired. The supplied value would place this core in the eastern hemisphere.","repair"
"COORD_OUT_OF_REGION","Coordinate falls outside the plausible region around Fort Severn even after any sign repair.","flag"
"COORD_MISSING","Latitude and/or longitude is missing or non-numeric.","flag"
"BD_ABOVE_MAX","Dry bulk density exceeds the plausible ceiling for soil; approaches parent-rock density. Suspect a sample-volume or compaction error.","flag"
"BD_BELOW_MIN","Dry bulk density below the plausible floor for any soil or moss layer.","flag"
"BD_PEAT_INCONSISTENT","Sample reads as peat by organic-matter content but carries a bulk density far too high for peat. The two measurements disagree.","flag"
"OM_OUT_OF_RANGE","Organic matter percentage outside 0-100.","flag"
"SOC_EXCEEDS_OM","Organic carbon percentage exceeds organic matter percentage, which is physically impossible: carbon is a component of organic matter.","flag"
"SOC_ABOVE_CEILING","Organic carbon percentage above the ceiling for soil organic carbon.","flag"
"OCD_RECONCILE_FAIL","The supplied Organic Carbon Density column does not reconcile with a first-principles recomputation from bulk density and SOC.","flag"
"THICKNESS_NONPOSITIVE","Segment thickness is zero, negative or missing.","flag"
"SEGMENT_INDEX_ABSENT","Sample Id carries no trailing integer, so segment order had to be assigned rather than read.","flag"
"DUPLICATE_LAB_VALUES","This sample shares an identical organic matter AND organic carbon pair with a sample from a DIFFERENT core. Possible transcription or copy-paste error.","flag"
"SINGLE_SEGMENT_CORE","Core is represented by a single segment, so within-core variability cannot be estimated for it.","flag"
